link;name;location;company;date
https://rabota.sber.ru/search/4174995;Ведущий эксперт по валидации;г Новосибирск, Новосибирская область;ПАО Сбербанк;07 сентября 2023
https://rabota.sber.ru/search/4210307;Разработчик_ML DevOps;г Москва;ПАО Сбербанк;27 сентября 2023
https://rabota.sber.ru/search/4213222;Senior DWH/BI Engineer (Postgresql);г Москва;ПАО Сбербанк;26 сентября 2023
https://rabota.sber.ru/search/4196723;Исполнительный директор (лидер по развитию подсегментов Дети, Подростки, Родители)_У;г Москва;ПАО Сбербанк;11 августа 2023
https://rabota.sber.ru/search/4204942;Senior Java Developer;г Москва;ПАО Сбербанк;04 сентября 2023
https://rabota.sber.ru/search/4200759;Системный аналитик;г Санкт-Петербург;ПАО Сбербанк;14 сентября 2023
https://rabota.sber.ru/search/4208950;Разработчик ETL;г Москва;ПАО Сбербанк;26 сентября 2023
https://rabota.sber.ru/search/4208567;Data Analyst (команда развития Платформы данных Профиля клиента );г Москва;ПАО Сбербанк;15 сентября 2023
https://rabota.sber.ru/search/4185095;Java-разработчик;г Москва;ПАО Сбербанк;06 июля 2023
https://rabota.sber.ru/search/4196578;iOS-разработчик Лояльность;г Москва;ПАО Сбербанк;08 августа 2023
https://rabota.sber.ru/search/4166313;Системный аналитик (discovery и интеграции);г Москва;ПАО Сбербанк;04 сентября 2023
https://rabota.sber.ru/search/4211634;Data Engineer (Рекомендательная система);г Москва;ПАО Сбербанк;20 сентября 2023
https://rabota.sber.ru/search/4206603;Team Lead/Senior Java разработчик (кредитование);г Москва;ПАО Сбербанк;13 сентября 2023
https://rabota.sber.ru/search/4212571;Senior Java developer;г Москва;ПАО Сбербанк;25 сентября 2023
https://rabota.sber.ru/search/4189792;Senior Java Developer;г Москва;ПАО Сбербанк;19 июля 2023
https://rabota.sber.ru/search/4208981;Архитектор продукта (Node.js, React);г Москва;ПАО Сбербанк;12 сентября 2023
https://rabota.sber.ru/search/4196779;Java разработчик;г Самара, Самарская область;ПАО Сбербанк;16 августа 2023
